Make,Model,Model w/ Mark w/ Edition,Production From,Production To,Legacy Note,GUID,Facelift Of GUID
Škoda,Citigo,Citigo I 3D,11,17,,e43ec0f1-7b3b-4861-bf23-6f771d5a8d91,
Škoda,Citigo,Citigo I 5D,11,17,,e028fca3-955f-4d36-9dc3-cf5208927f3f,
Škoda,Citigo,Citigo I 3D,17,20,Facelift,6f0a916e-a28b-4440-a806-e4d25a41fc9b,e43ec0f1-7b3b-4861-bf23-6f771d5a8d91
Škoda,Citigo,Citigo I 5D,17,20,Facelift,8a80c14a-bd01-4785-a239-c888af6cddf4,e028fca3-955f-4d36-9dc3-cf5208927f3f
Škoda,Citigoᵉ iV,Citigoᵉ iV,19,20,,400a1b36-3726-4bd8-ab75-c941c498de3e,
Škoda,Fabia,Fabia I,99,04,,6cba4bbd-f7d3-4e89-b8ed-2edf54025b80,
Škoda,Fabia,Fabia I Combi,00,04,,54151422-cb53-4466-8861-629cb40f147c,
Škoda,Fabia,Fabia I Sedan,01,04,,dd80651b-9847-4bfd-b073-db405fd12c71,
Škoda,Fabia,Fabia I RS,03,04,,55849a02-02da-46ee-b740-904207f8fdbc,
Škoda,Fabia,Fabia I,04,07,Facelift,4cfd7f93-cd99-4313-8bf3-19b01ad95887,6cba4bbd-f7d3-4e89-b8ed-2edf54025b80
Škoda,Fabia,Fabia I Combi,04,07,Facelift,24d4317e-53de-475a-93c8-96c34a00f4d7,54151422-cb53-4466-8861-629cb40f147c
Škoda,Fabia,Fabia I Sedan,04,07,Facelift,6c2bd296-b952-4f49-b2fa-9dcc4f7e769e,dd80651b-9847-4bfd-b073-db405fd12c71
Škoda,Fabia,Fabia I RS,04,07,Facelift,e85209f6-69e5-4803-bd0a-9c7a5ea2be7f,55849a02-02da-46ee-b740-904207f8fdbc
Škoda,Fabia,Fabia II,07,10,,15417e2f-f011-4d85-a33e-e5f376494158,
Škoda,Fabia,Fabia II Combi,07,10,,2b484e4b-5e9a-466a-8f3c-094a17fee179,
Škoda,Fabia,Fabia II GreenLine,08,10,,cb663be1-6aef-477d-864f-9aafa72bf0e9,
Škoda,Fabia,Fabia II Combi Scout,09,10,,9b5a3ca5-6b04-47b9-96c5-6bc844b4e720,
Škoda,Fabia,Fabia II,10,14,Facelift,21f72979-163a-4179-a3dd-9ff6c45eda0d,15417e2f-f011-4d85-a33e-e5f376494158
Škoda,Fabia,Fabia II RS,10,14,,ab87413f-2606-4c7b-9b80-3048fab740d5,
Škoda,Fabia,Fabia II Scout,10,14,,940207fc-a932-4dde-9aab-00bb2512b6b3,
Škoda,Fabia,Fabia II Monte Carlo,10,14,,c47696c4-39cf-4f6a-893c-9e0e9661b34d,
Škoda,Fabia,Fabia II Combi,10,14,Facelift,b6af6be9-60a6-4164-bd4a-00e63b3a5849,2b484e4b-5e9a-466a-8f3c-094a17fee179
Škoda,Fabia,Fabia II Combi RS,10,14,,2b72290c-072f-42da-b1b1-f5935c400ae7,
Škoda,Fabia,Fabia II Combi Scout,10,14,Facelift,e4dd5200-b679-41ce-b12a-5ec35a35e3d8,9b5a3ca5-6b04-47b9-96c5-6bc844b4e720
Škoda,Fabia,Fabia III,14,18,,49b65eab-d014-4468-81e3-68623076ee55,
Škoda,Fabia,Fabia III Combi,15,18,,a37e6bdf-388e-4453-b3c4-4470c2845a96,
Škoda,Fabia,Fabia III,18,21,Facelift,50a16d0e-8bcc-4ccb-8e89-7f0da2a3dfda,49b65eab-d014-4468-81e3-68623076ee55
Škoda,Fabia,Fabia III Combi,18,,Facelift,ac4c95f3-e61d-4f99-a053-b5cb9939d56d,a37e6bdf-388e-4453-b3c4-4470c2845a96
Škoda,Fabia,Fabia III Combi Monte Carlo,18,,Facelift,d9afe749-d379-4d9a-9794-f258d68fb077,6f57fab2-f3e2-42bf-8c38-536ecf4f767a
Škoda,Fabia,Fabia IV,21,,,ffdeb0cd-d0e6-42ca-9090-6f6a1352bcfc,
Škoda,Felicia,Felicia,94,98,,6274187b-cf1b-4069-8e57-fd34c371e110,
Škoda,Felicia,Felicia Combi,95,98,,f233cbd7-06d5-4743-a228-e9f5aca979e1,
Škoda,Felicia,Felicia Van Plus,95,00,,443bfab1-91b0-444f-b50c-ed2fe8710605,
Škoda,Felicia,Felicia Pickup,95,01,,ab51e10a-df92-4f2b-b719-0f0b3ef54546,
Škoda,Felicia,Felicia Fun,96,00,,36bfedcf-9221-4de2-854b-2baab7b359a3,
Škoda,Felicia,Felicia,98,01,Facelift,1df6ff02-74d9-4d29-82d6-e49e732d5428,6274187b-cf1b-4069-8e57-fd34c371e110
Škoda,Felicia,Felicia Combi,98,01,Facelift,94781afc-0002-4eed-90e9-ae961a0625ac,f233cbd7-06d5-4743-a228-e9f5aca979e1
Škoda,Kamiq,Kamiq,18,,,f1f4fc0b-c9b1-4064-b2b0-cf61b0c3a73d,
Škoda,Karoq,Karoq I,17,21,,96f8bcbe-627e-444e-9b52-6b2d505c234b,
Škoda,Karoq,Karoq I Scout,17,21,,6b03478d-84fb-4cdb-b562-a2f28107920d,
Škoda,Karoq,Karoq I,21,,Facelift,abd88bbb-12da-4ba0-9b49-b941eddc2d05,
Škoda,Kodiaq,Kodiaq I,16,21,,4448ebaa-81e1-4378-a950-643c462cbf50,
Škoda,Kodiaq,Kodiaq I RS,18,21,,3cd883d8-ab6c-4bbe-bce2-b91b5e7a8b86,
Škoda,Kodiaq,Kodiaq I,21,,Facelift,917ea5dd-a71e-4b4f-bcd1-a4f7d82502f6,4448ebaa-81e1-4378-a950-643c462cbf50
Škoda,Kodiaq,Kodiaq I RS,21,,Facelift,df40ce6e-6f23-4d29-8bdd-87b89158035c,3cd883d8-ab6c-4bbe-bce2-b91b5e7a8b86
Škoda,Octavia,Octavia I,96,00,,5eade3d5-f704-4fc3-9988-d244475d1951,
Škoda,Octavia,Octavia I Combi,98,00,,b2692b9a-7e1f-424b-ae59-612ffcaa11f4,
Škoda,Octavia,Octavia I,00,10,Facelift,5a9d3780-ca20-4040-8cd9-129d36a94997,5eade3d5-f704-4fc3-9988-d244475d1951
Škoda,Octavia,Octavia I Combi,00,10,Facelift,908c5905-237a-4ba5-a98f-6fca08e3540e,b2692b9a-7e1f-424b-ae59-612ffcaa11f4
Škoda,Octavia,Octavia I RS,01,04,,72b8a11f-fb0a-4334-8a01-bfd361f57a6c,
Škoda,Octavia,Octavia I Combi RS,03,04,,4eb991b1-0457-4c15-b055-fc6358d16cbe,
Škoda,Octavia,Octavia II,04,08,,5ee63f5f-99fe-42a2-ae2b-722d18d44d57,
Škoda,Octavia,Octavia II Combi,04,08,,c15885ba-130c-4063-8ac4-2ddb31d9a33c,
Škoda,Octavia,Octavia II RS,04,08,,08fa612b-6525-4683-be4a-c500a3273594,
Škoda,Octavia,Octavia II Combi RS,04,08,,9ca1cec5-f6b2-4e28-a7ad-784be36fffe3,
Škoda,Octavia,Octavia II Combi Scout,07,08,,934981aa-30c2-4bef-a658-1982b2e40cd4,
Škoda,Octavia,Octavia II,08,12,Facelift,8c1f37e9-868c-42ab-81ec-196385252c4e,5ee63f5f-99fe-42a2-ae2b-722d18d44d57
Škoda,Octavia,Octavia II RS,08,12,Facelift,32e37e15-e87f-4d93-b85f-1a38e867bdc4,08fa612b-6525-4683-be4a-c500a3273594
Škoda,Octavia,Octavia II Combi,08,12,Facelift,515ae2a1-63d1-4b4d-ab14-571904cf617a,c15885ba-130c-4063-8ac4-2ddb31d9a33c
Škoda,Octavia,Octavia II Combi RS,08,12,Facelift,095f5610-e444-4a92-8cc1-3f1632c7063a,9ca1cec5-f6b2-4e28-a7ad-784be36fffe3
Škoda,Octavia,Octavia II Combi Scout,08,12,Facelift,9a583079-d0bb-4c27-9ed5-0c9251478e10,934981aa-30c2-4bef-a658-1982b2e40cd4
Škoda,Octavia,Octavia III,12,17,,b932a9c1-4825-4854-b4db-41444be06323,
Škoda,Octavia,Octavia III Combi,12,17,,9dff1e7d-d698-40f3-883f-3f9b5dc4ebb1,
Škoda,Octavia,Octavia III RS,13,17,,f7a3db2a-09f4-4311-909f-b8c24ea0f45a,
Škoda,Octavia,Octavia III Combi RS,13,17,,8ac8ccd4-c205-41a4-a307-398fc1edd8cc,
Škoda,Octavia,Octavia III Combi Scout,14,17,,8016332f-7228-499c-9019-70591cb454f2,
Škoda,Octavia,Octavia III,17,19,Facelift,939125d8-02c3-4aae-b538-e26bcf96a391,b932a9c1-4825-4854-b4db-41444be06323
Škoda,Octavia,Octavia III Combi,17,19,Facelift,78873e3d-608d-40a1-936d-2af677fb527b,9dff1e7d-d698-40f3-883f-3f9b5dc4ebb1
Škoda,Octavia,Octavia III RS,17,19,Facelift,b09bc8c9-6987-4391-9517-da4576cce094,f7a3db2a-09f4-4311-909f-b8c24ea0f45a
Škoda,Octavia,Octavia III Combi RS,17,19,Facelift,0f3a77c8-e675-4f13-bc70-0768c4c17e4e,8ac8ccd4-c205-41a4-a307-398fc1edd8cc
Škoda,Octavia,Octavia III Combi Scout,17,19,Facelift,26bdc385-5ac6-488a-acb8-389fad185288,8016332f-7228-499c-9019-70591cb454f2
Škoda,Octavia,Octavia IV,19,,,d626339e-3dd9-44f9-ad74-a5594f250cd1,
Škoda,Octavia,Octavia IV RS,19,,,8dd03588-4585-41a1-858b-605f42a7c006,
Škoda,Octavia,Octavia IV Combi,19,,,86d7f38e-f3eb-42a3-be70-670c098e4c83,
Škoda,Octavia,Octavia IV Combi RS,19,,,36376026-2993-4a5b-8e07-7141ca53868d,
Škoda,Octavia,Octavia IV Scout,19,,,01cbef14-1668-4ade-beed-a254ca27d68a,
Škoda,Rapid,Rapid I,13,17,,60449bd5-1e14-478d-a4e6-d16748f2b3ac,
Škoda,Rapid,Rapid I Sport,13,17,,dbba9bb7-2bb2-479f-a8bb-a88d8fa5b510,
Škoda,Rapid,Rapid I Spaceback,13,17,,06b8efe4-9f02-4b27-bfa5-ba502beeec4a,
Škoda,Rapid,Rapid I,17,19,Facelift,b75f687e-39fd-4719-b251-7056b5826669,60449bd5-1e14-478d-a4e6-d16748f2b3ac
Škoda,Rapid,Rapid I Spaceback,17,19,Facelift,0a551a79-2e9f-4c5a-8bb5-d6ac6349faa8,dbba9bb7-2bb2-479f-a8bb-a88d8fa5b510
Škoda,Roomster,Roomster,06,10,,c3e046e2-d852-4a3f-a3cf-0d1199a563db,
Škoda,Roomster,Roomster,10,15,Facelift,04d4fbb3-f276-484c-b079-e7ef778ac3ee,c3e046e2-d852-4a3f-a3cf-0d1199a563db
Škoda,Scala,Scala,18,,,9acf156a-a04f-4ccd-979d-12164bc73691,
Škoda,Superb,Superb I,02,06,,91ea7945-554f-48f2-8daa-cbedabdef595,
Škoda,Superb,Superb I,06,08,Facelift,90362cd9-f114-4740-be8d-d47862948a09,91ea7945-554f-48f2-8daa-cbedabdef595
Škoda,Superb,Superb II,08,13,,ed2f4a60-cfd8-40d8-8a96-a4cd0564b310,
Škoda,Superb,Superb II Combi,09,13,,262aa77e-666d-4a4f-8fcb-d66d3a22036f,
Škoda,Superb,Superb II,13,15,Facelift,c7d320c4-02f1-4ff1-a26f-98f7c07ed1d6,ed2f4a60-cfd8-40d8-8a96-a4cd0564b310
Škoda,Superb,Superb II Combi,13,15,Facelift,24a0a0b6-df42-4cbe-b679-d20e0065b241,262aa77e-666d-4a4f-8fcb-d66d3a22036f
Škoda,Superb,Superb III,15,19,,02a9544d-f39d-4c40-a21a-c8d7ab511e2a,
Škoda,Superb,Superb III Combi,15,19,,8014646a-2143-4585-a2da-edcac15bea1a,
Škoda,Superb,Superb III,19,,Facelift,de10d13c-6728-4e61-a70b-d13ad3cbdc36,02a9544d-f39d-4c40-a21a-c8d7ab511e2a
Škoda,Superb,Superb III Combi,19,,Facelift,7c91b8c7-a45d-449a-9203-c2598efad253,8014646a-2143-4585-a2da-edcac15bea1a
Škoda,Superb,Superb III Scout,19,,,b36187e2-7222-4b53-a9ba-beb41a981b9f,
Škoda,Yeti,Yeti,09,13,,e9221924-a381-4b25-87b0-92e04a50887a,
Škoda,Yeti,Yeti,13,17,Facelift,4bc439c2-d1ad-4173-b404-5cb549525bad,e9221924-a381-4b25-87b0-92e04a50887a
Škoda,Yeti,Yeti Outdoor,13,17,,6f85eef5-34a2-40a4-8bf7-83f7ad6b0824,
Škoda,Enyaq,Enyaq I,20,,,1b3f185a-b0f1-4a2e-aa14-56475baae25e,
Škoda,Enyaq,Enyaq I Coupé,20,,,17a7f3e0-b2f1-4d5e-af27-583da2d685b4,
BMW,i3,i3,13,17,,1e8ee7d0-5fcd-46aa-ae4c-a2bc8486e29f,
BMW,i3,i3,17,,Facelift,e8963107-80b7-4a42-9a60-ff64dc2812f4,1e8ee7d0-5fcd-46aa-ae4c-a2bc8486e29f
BMW,i4,i4,21,,,0561cdea-9c84-412f-b07e-ae933bf03d47,
BMW,i4,i4 M50,21,,,33325606-3cf1-4197-962e-d0c02c2eeea4,
BMW,iX,iX,21,,,48f61cac-a4d6-4c3f-917b-6c5ac7b865e2,
BMW,8,8 E31,89,99,,61e38b93-7198-4bd6-8d7c-bd95864bb557,
BMW,8,8 G14,19,,,8f63df42-b6a6-46e8-868a-812fb8345179,
BMW,8,8 G15,18,,,802abd72-c715-40f0-877c-5aa597a285ee,
BMW,8,8 G16,19,,,66dc102a-069c-40f2-92ef-76540a0ea23a,
BMW,7,7 E32,87,94,,b5c8518d-1ac2-461c-8eb0-1345fa5431a8,
BMW,7,7 E32 L,87,94,,497c2f1c-b065-4396-86fa-f56fc8e5b2da,
BMW,7,7 E38,94,98,,da6ced61-0197-4cea-9348-c71fe95b33f1,
BMW,7,7 E38 L,94,98,,2e7c955f-e340-4f82-9607-a3f95903c03f,
BMW,7,7 E38,98,01,Facelift,9cc3e073-7936-4f1d-b522-7f34acb7763e,da6ced61-0197-4cea-9348-c71fe95b33f1
BMW,7,7 E38 L,98,01,Facelift,2ce6a379-5ab2-4f55-9406-f98668a8a057,2e7c955f-e340-4f82-9607-a3f95903c03f
BMW,7,7 E65,01,06,,fb339033-0db5-40d5-936d-81db618e8c38,
BMW,7,7 E66 L,01,06,,aa2b6b4f-9a3c-481b-9ad9-0b26ee588635,
BMW,7,7 E65,06,08,Facelift,caa3925f-9c23-4da9-a88c-9b4a6c4bd2c4,fb339033-0db5-40d5-936d-81db618e8c38
BMW,7,7 E66 L,06,08,Facelift,3c6064ae-3cf3-40c8-8c37-733db4e1f282,aa2b6b4f-9a3c-481b-9ad9-0b26ee588635
BMW,7,7 F01,08,12,,4d71ce58-6561-4926-9927-06029f646164,
BMW,7,7 F02 L,08,12,,3fe90cc3-e646-429c-9f1f-1c38ee31975f,
BMW,7,7 F01,12,15,Facelift,46fc029c-bdb7-4ff9-bf0e-10557936ddcb,4d71ce58-6561-4926-9927-06029f646164
BMW,7,7 F02 L,12,15,Facelift,6f31e796-b1b7-40ee-9568-201b258b8406,3fe90cc3-e646-429c-9f1f-1c38ee31975f
BMW,7,7 G11,15,19,,821685bb-b60a-4cd0-a552-fe8d350617c9,
BMW,7,7 G12 L,15,19,,d17a6b59-cf4d-40f8-9ef1-21f5b7769f49,
BMW,7,7 G11,19,22,Facelift,1f8bde1e-a270-44d9-97f5-e8036fd10e38,821685bb-b60a-4cd0-a552-fe8d350617c9
BMW,7,7 G12 L,19,22,Facelift,b6deeb04-905e-4dc6-a6c2-d7c62b896126,d17a6b59-cf4d-40f8-9ef1-21f5b7769f49
BMW,7,7 G70,22,,,5ecbc543-44a1-4cac-ba65-5d4c25ee5f59,
BMW,6,6 E63 Coupé,04,07,,01c92ae1-42d9-497d-9c96-24c15f964e4c,
BMW,6,6 E64 Cabrio,04,07,,a22d27e3-ee2e-4864-8416-dac0145b5816,
BMW,6,6 E63 Coupé,07,11,Facelift,463e8a3c-3015-4719-b8ff-0693b3975ef4,01c92ae1-42d9-497d-9c96-24c15f964e4c
BMW,6,6 E64 Cabrio,07,11,Facelift,ba7201d2-63d8-4882-9655-1438c89a51eb,a22d27e3-ee2e-4864-8416-dac0145b5816
BMW,6,6 F12 Coupé,11,15,,69177dda-1a25-40ba-a564-012ee5eea637,
BMW,6,6 F13 Cabrio,11,15,,f652602d-37e9-4da7-8572-5ee6808984c5,
BMW,6,6 F06 Gran Coupé,12,15,,4dae15c3-655e-41dd-827e-f95ab59ff989,
BMW,6,6 F12 Coupé,15,17,Facelift,d910b4ea-f160-4c4b-836c-1a50828abb31,69177dda-1a25-40ba-a564-012ee5eea637
BMW,6,6 F13 Cabrio,15,18,Facelift,2f7a4ba0-eb11-42c9-8de8-001002ea583f,f652602d-37e9-4da7-8572-5ee6808984c5
BMW,6,6 F06 Gran Coupé,15,,Facelift,3666b5e0-6fea-4fad-a289-3895e799e5ea,4dae15c3-655e-41dd-827e-f95ab59ff989
BMW,6,6 G32 Gran Turismo,17,20,,3564267a-ffb6-4ab2-b925-f1d39bdb35a9,
BMW,6,6 G32 Gran Turismo,20,23,Facelift,406c2b56-43bc-4c0a-a6eb-7568283a5b8a,3564267a-ffb6-4ab2-b925-f1d39bdb35a9
BMW,5,5 E34,87,96,,afcd79dd-0591-47b0-8662-b8c038e31f04,
BMW,5,5 E34 Touring,87,96,,42d63754-3b15-4db4-ad5e-8cda7878449c,
BMW,5,5 E39,95,00,,528e8e4b-0b64-4b47-b2ef-c6d80ee93c7e,
BMW,5,5 E39 Touring,97,00,,0ead8360-3695-404d-8215-ee6a73c19c67,
BMW,5,5 E39,00,04,Facelift,b9a1197e-25bc-4027-aa14-44a3156ab720,528e8e4b-0b64-4b47-b2ef-c6d80ee93c7e
BMW,5,5 E39 Touring,00,04,Facelift,ed746455-8599-45c4-a72c-50162cb4d6f6,0ead8360-3695-404d-8215-ee6a73c19c67
BMW,5,5 E60,03,07,,4d87139b-03bf-49f6-ac4d-a1845ecf8a92,
BMW,5,5 E61 Touring,04,07,,f623211d-ac6a-45b6-be5a-b31bdab2dc3f,
BMW,5,5 E60,07,10,Facelift,228d4655-2a9a-417c-b742-8b6bf320d1ab,4d87139b-03bf-49f6-ac4d-a1845ecf8a92
BMW,5,5 E61 Touring,07,10,Facelift,0e75e2c1-9127-4b4a-b5d8-dc7c845c9408,f623211d-ac6a-45b6-be5a-b31bdab2dc3f
BMW,5,5 F07 GT,09,13,,b6061ddb-2b12-44dd-a361-ef65533dbe4b,
BMW,5,5 F10,10,13,,b5d165d8-691a-447b-9a55-970a7e13abc5,
BMW,5,5 F11 Touring,10,13,,85232aa9-27ce-4183-8395-0e8fc70a6145,
BMW,5,5 F07 GT,13,17,Facelift,0f621b2e-da43-4e39-b320-c490df987f11,b6061ddb-2b12-44dd-a361-ef65533dbe4b
BMW,5,5 F10,13,17,Facelift,af49a272-d730-4ce5-9e26-913d62214f36,b5d165d8-691a-447b-9a55-970a7e13abc5
BMW,5,5 F11 Touring,13,17,Facelift,c412218c-652d-472d-876b-e2b8e19a846a,85232aa9-27ce-4183-8395-0e8fc70a6145
BMW,5,5 G30,17,20,,b381245b-d015-455b-9dbb-55d33f9099f5,
BMW,5,5 G31 Touring,17,20,,d2174f6c-4e37-4dbb-a713-34cc204b7d5f,
BMW,5,5 G30,20,,Facelift,cfc776cb-3254-4f3c-82b7-bb115248dcfa,b381245b-d015-455b-9dbb-55d33f9099f5
BMW,5,5 G31 Touring,20,,Facelift,db890d2e-e1b6-4f05-b496-c81a4c018f0e,d2174f6c-4e37-4dbb-a713-34cc204b7d5f
BMW,4,4 F32 Coupé,13,17,,564ee349-551a-4e74-afe4-19987de58b5c,
BMW,4,4 F33 Convertible,13,17,,516ea209-6726-4558-b76c-5fad23c9240b,
BMW,4,4 F36 Gran Coupé,14,17,,c0779613-8912-4a12-b93e-1b3c0559a598,
BMW,4,4 F36 Gran Coupé M Performance,14,17,,66f7720f-49bb-4822-a1cc-c08d91e61d82,
BMW,4,4 F32 Coupé,17,20,Facelift,68b13c68-0065-4bb5-98f0-2a99ab4c3095,564ee349-551a-4e74-afe4-19987de58b5c
